params,folds,accuracies,efficiencies,total_times,Reduced Features
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'MI', 'k_fs': '80%'}",0,0.47474747474747475,0.011462919639818596,1.1352171897888184,10.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'MI', 'k_fs': '80%'}",1,0.5050505050505051,0.013136333889431424,1.3008923530578613,10.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'MI', 'k_fs': '80%'}",2,0.46464646464646464,0.014749808744950728,1.460646629333496,10.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'MI', 'k_fs': '80%'}",3,0.42424242424242425,0.011976157776033036,1.1860475540161133,10.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'MI', 'k_fs': '80%'}",4,0.5656565656565656,0.011125990838715525,1.1018586158752441,10.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'MI', 'k_fs': '80%'}",5,0.5353535353535354,0.011373139391041766,1.1263401508331299,10.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'MI', 'k_fs': '80%'}",6,0.3939393939393939,0.011684424949414803,1.1572115421295166,10.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'MI', 'k_fs': '80%'}",7,0.45454545454545453,0.011194050914109355,1.10858154296875,10.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'MI', 'k_fs': '80%'}",8,0.5757575757575758,0.010810454686482748,1.0706117153167725,10.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'MI', 'k_fs': '80%'}",9,0.6161616161616161,0.010717254696470318,1.061394453048706,9.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2', 'k_fs': '80%'}",0,0.6161616161616161,0.010694812042544586,1.0591542720794678,9.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2', 'k_fs': '80%'}",1,0.6767676767676768,0.010718697249287307,1.0615110397338867,9.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2', 'k_fs': '80%'}",2,0.46464646464646464,0.01110324233469337,1.0995845794677734,10.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2', 'k_fs': '80%'}",3,0.42424242424242425,0.011336538526746962,1.1226942539215088,9.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2', 'k_fs': '80%'}",4,0.5656565656565656,0.011113142726397273,1.1006278991699219,10.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2', 'k_fs': '80%'}",5,0.5353535353535354,0.011654692466812904,1.1542026996612549,10.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2', 'k_fs': '80%'}",6,0.3939393939393939,0.011390705301304056,1.1280558109283447,10.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2', 'k_fs': '80%'}",7,0.45454545454545453,0.011166269128972834,1.1058173179626465,10.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2', 'k_fs': '80%'}",8,0.6565656565656566,0.013421566799433545,1.3291549682617188,9.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'C2', 'k_fs': '80%'}",9,0.5454545454545454,0.011670957912098278,1.1558201313018799,10.0
