params,folds,accuracies,efficiencies,total_times
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'AR'}",6,0.992740472,0.122120222,134.5835669
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'AR'}",7,0.993636364,0.121216025,133.346668
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'AR'}",8,0.992714026,0.121850554,133.7968845
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'AR'}",9,0.990018149,0.122993087,135.5423713
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DF'}",0,0.994535519,0.11459373,125.8318784
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DF'}",1,0.989990901,0.116288393,127.803968
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DF'}",2,0.991795807,0.119006128,130.5605152
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DF'}",3,0.990909091,0.117051084,128.762207
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DF'}",4,0.992714026,0.115914835,127.2805552
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DF'}",5,0.996357013,0.116927171,128.3951859
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DF'}",6,0.993647913,0.128999881,142.1649034
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DF'}",7,0.992727273,0.121430189,133.5819025
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DF'}",8,0.992714026,0.127239165,139.7166469
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DF'}",9,0.990018149,0.133195815,146.7878063
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DD'}",0,0.994535519,0.125782647,138.1113646
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DD'}",1,0.989990901,0.128457768,141.1811254
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DD'}",2,0.991795807,0.124294605,136.3582263
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DD'}",3,0.991818182,0.125604701,138.1715322
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DD'}",4,0.992714026,0.12701181,139.4662154
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DD'}",5,0.995446266,0.126392848,138.7834237
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DD'}",6,0.992740472,0.125707612,138.5338418
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DD'}",7,0.992727273,0.128147061,140.9672236
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DD'}",8,0.992714026,0.122597783,134.6186531
"{'ds': 'pen-based', 'K': 5, 'voting': 'MP', 'retention': 'DD'}",9,0.990018149,0.124168197,136.8375874
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'NR'}",0,0.996357013,0.126522782,138.9240217
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'NR'}",1,0.992720655,0.126436829,138.9593806
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'NR'}",2,0.993618961,0.127530421,139.9069343
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'NR'}",3,0.992727273,0.128518211,141.374053
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'NR'}",4,0.994535519,0.128037832,140.5885513
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'NR'}",5,0.99726776,0.125827986,138.1645842
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'NR'}",6,0.994555354,0.124007193,136.6627584
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'NR'}",7,0.992727273,0.130590812,143.6573937
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'NR'}",8,0.995446266,0.125712671,138.0355165
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'NR'}",9,0.992740472,0.126162684,139.034296
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'AR'}",0,0.996357013,0.131866463,144.7973785
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'AR'}",1,0.991810737,0.132794148,145.9478486
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'AR'}",2,0.993618961,0.133224329,146.1510913
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'AR'}",3,0.991818182,0.136299407,149.9343412
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'AR'}",4,0.994535519,0.13773581,151.2434537
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'AR'}",5,0.996357013,0.139602503,153.2929466
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'AR'}",6,0.995462795,0.136024419,149.9110086
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'AR'}",7,0.992727273,0.202363274,222.6117344
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'AR'}",8,0.995446266,0.18643141,204.7098663
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'AR'}",9,0.992740472,0.124989452,137.7434442
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DF'}",0,0.996357013,0.114804682,126.0612593
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DF'}",1,0.992720655,0.11496256,126.3473971
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DF'}",2,0.993618961,0.11512513,126.3000562
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DF'}",3,0.992727273,0.114976087,126.4801092
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DF'}",4,0.994535519,0.115081028,126.3609769
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DF'}",5,0.996357013,0.115109169,126.396575
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DF'}",6,0.995462795,0.115299222,127.0657799
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DF'}",7,0.992727273,0.115882392,127.4742029
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DF'}",8,0.995446266,0.115712296,127.06265
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DF'}",9,0.992740472,0.11599611,127.8317194
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DD'}",0,0.996357013,0.112748993,123.8006768
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DD'}",1,0.992720655,0.11982335,131.6878946
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DD'}",2,0.993618961,0.116347717,127.6400449
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DD'}",3,0.992727273,0.115270435,126.8004987
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DD'}",4,0.994535519,0.115296565,126.5996559
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DD'}",5,0.996357013,0.115733861,127.0808263
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DD'}",6,0.994555354,0.115055402,126.7930572
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DD'}",7,0.992727273,0.115333645,126.8711112
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DD'}",8,0.995446266,0.114162108,125.3523934
"{'ds': 'pen-based', 'K': 5, 'voting': 'BC', 'retention': 'DD'}",9,0.992740472,0.117562726,129.5571547
"{'ds': 'pen-based', 'K': 7, 'voting': 'MP', 'retention': 'NR'}",0,0.993624772,0.114133022,125.3254082
"{'ds': 'pen-based', 'K': 7, 'voting': 'MP', 'retention': 'NR'}",1,0.990900819,0.114847871,126.2236619
"{'ds': 'pen-based', 'K': 7, 'voting': 'MP', 'retention': 'NR'}",2,0.991795807,0.114817391,125.9632509
"{'ds': 'pen-based', 'K': 7, 'voting': 'MP', 'retention': 'NR'}",3,0.989090909,0.114775385,126.2574689
"{'ds': 'pen-based', 'K': 7, 'voting': 'MP', 'retention': 'NR'}",4,0.991803279,0.114583373,125.8191094
"{'ds': 'pen-based', 'K': 7, 'voting': 'MP', 'retention': 'NR'}",5,0.992714026,0.114169168,125.3638074
